student_id;group;first_name;infix;last_name;gender;date_of_birth
000001;test;Apple;is;Healthy;M;2005-01-12
000002;test;Hammer;;Smile;M;2005-09-02
000003;test;Monkey;in;Tale;F;2006-12-05
000004;test;Bat;;Woman;F;2004-02-29
000005;test;Sky;;Balloon;F;2005-03-31
000006;test;Wide;;Smile;M;2007-04-03
000007;test;Cycling;without;Losing;M;2005-01-12
000008;test;Blind;;Fold;F;2005-01-12
000009;test;Short;;Fuse;F;2005-01-12
000010;test;Book;;Reading;M;2005-01-12
000011;test;Lamp;of;Light;F;2005-01-12
000012;test;Candle;;Light;F;2005-01-12
000013;test;Kitty;the;Kitten;F;2005-01-12
000014;test;Chiny;;Chinese;F;2005-01-12
000015;test;Cloud;without;Rain;F;2005-01-12
000016;test;Lady;;Bug;M;2005-01-12
000017;test;Cup;of;Coffee;F;2005-01-12
000018;test;Compute;;All;N;2005-01-12
000019;test;Timber;;Bob;M;2005-01-12
000020;test;Chef;;Hat;M;2005-01-12
000021;test;Base;;Ball;F;2005-01-12
000022;test;Solar;;Glasses;F;2005-01-12
